x_km,pantograph_voltage_kV,line_current_A,active_line_loss_kW,load_reactive_power_kvar,line_reactive_power_kvar
0.000000,25.000000,177.777778,0.000000,1937.288419,0.000000
0.100000,24.998895,177.785636,0.126431,1937.288419,0.189646
0.200000,24.997790,177.793496,0.252884,1937.288419,0.379326
0.300000,24.996685,177.801357,0.379360,1937.288419,0.569040
0.400000,24.995579,177.809220,0.505858,1937.288419,0.758787
0.500000,24.994474,177.817084,0.632378,1937.288419,0.948567
0.600000,24.993368,177.824949,0.758921,1937.288419,1.138382
0.700000,24.992263,177.832817,0.885486,1937.288419,1.328229
0.800000,24.991157,177.840685,1.012074,1937.288419,1.518111
0.900000,24.990051,177.848556,1.138684,1937.288419,1.708026
1.000000,24.988945,177.856428,1.265316,1937.288419,1.897975
1.100000,24.987839,177.864301,1.391971,1937.288419,2.087957
1.200000,24.986732,177.872176,1.518649,1937.288419,2.277973
1.300000,24.985626,177.880052,1.645348,1937.288419,2.468022
1.400000,24.984519,177.887930,1.772070,1937.288419,2.658106
1.500000,24.983413,177.895809,1.898815,1937.288419,2.848223
1.600000,24.982306,177.903690,2.025582,1937.288419,3.038373
1.700000,24.981199,177.911572,2.152372,1937.288419,3.228558
1.800000,24.980092,177.919456,2.279184,1937.288419,3.418776
1.900000,24.978985,177.927342,2.406019,1937.288419,3.609028
2.000000,24.977878,177.935229,2.532876,1937.288419,3.799313
2.100000,24.976771,177.943117,2.659755,1937.288419,3.989633
2.200000,24.975663,177.951007,2.786657,1937.288419,4.179986
2.300000,24.974556,177.958899,2.913582,1937.288419,4.370373
2.400000,24.973448,177.966792,3.040529,1937.288419,4.560794
2.500000,24.972340,177.974686,3.167499,1937.288419,4.751248
2.600000,24.971232,177.982582,3.294491,1937.288419,4.941737
2.700000,24.970125,177.990480,3.421506,1937.288419,5.132259
2.800000,24.969016,177.998379,3.548543,1937.288419,5.322815
2.900000,24.967908,178.006280,3.675603,1937.288419,5.513405
3.000000,24.966800,178.014182,3.802686,1937.288419,5.704029
3.100000,24.965691,178.022086,3.929791,1937.288419,5.894687
3.200000,24.964583,178.029991,4.056919,1937.288419,6.085378
3.300000,24.963474,178.037898,4.184069,1937.288419,6.276104
