time_s,speed_ref_mps,speed_mps,acceleration_mps2,inverter_frequency_hz,synchronous_speed_rpm,motor_speed_rpm,slip,motor_current_a,motor_torque_nm,motor_output_kw,wheel_speed_rpm,traction_force_n,consumption_power_kw,regeneration_power_kw
0.000000,0.000000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.000000,0.000000
0.100000,0.033333,0.000000,-0.049843,0.095869,1.917372,0.000000,1.000000,53.255626,8.100331,0.000000,0.000000,47.094951,45.171796,0.000000
0.200000,0.066667,0.000000,-0.048977,0.191741,3.834811,0.000000,1.000000,96.383198,52.800873,0.000000,0.000000,306.981818,45.578587,0.000000
0.300000,0.100000,0.000000,-0.047361,0.287616,5.752317,0.000000,1.000000,126.901163,136.167670,0.000000,0.000000,791.672498,46.048260,0.000000
0.400000,0.133333,0.000000,-0.045298,0.383494,7.669889,0.000000,1.000000,147.545000,242.635904,0.000000,0.000000,1410.673862,46.501056,0.000000
0.500000,0.166667,0.000000,-0.043038,0.479376,9.587528,0.000000,1.000000,161.746598,359.227663,0.000000,0.000000,2088.532925,46.930386,0.000000
0.600000,0.200000,0.000000,-0.040716,0.575262,11.505233,0.000000,1.000000,172.009897,479.058112,0.000000,0.000000,2785.221580,47.352430,0.000000
0.700000,0.233333,0.000000,-0.038389,0.671150,13.423005,0.000000,1.000000,179.905497,599.104450,0.000000,0.000000,3483.165409,47.784099,0.000000
0.800000,0.266667,0.000000,-0.036081,0.767042,15.340844,0.000000,1.000000,186.380476,718.211059,0.000000,0.000000,4175.645690,48.238067,0.000000
0.900000,0.300000,0.000000,-0.033798,0.862937,17.258750,0.000000,1.000000,192.007018,836.034729,0.000000,0.000000,4860.667030,48.723005,0.000000
1.000000,0.333333,0.000000,-0.031539,0.958836,19.176722,0.000000,1.000000,197.136600,952.562358,0.000000,0.000000,5538.153242,49.244702,0.000000
1.100000,0.366667,0.000000,-0.029304,1.054738,21.094761,0.000000,1.000000,201.989466,1067.901906,0.000000,0.000000,6208.732015,49.807038,0.000000
1.200000,0.400000,0.000000,-0.027089,1.150643,23.012866,0.000000,1.000000,206.706144,1182.194651,0.000000,0.000000,6873.224713,50.412641,0.000000
1.300000,0.433333,0.000000,-0.024892,1.246552,24.931039,0.000000,1.000000,211.377521,1295.580026,0.000000,0.000000,7532.442010,51.063320,0.000000
1.400000,0.466667,0.000000,-0.022710,1.342464,26.849278,0.000000,1.000000,216.062811,1408.183029,0.000000,0.000000,8187.110631,51.760341,0.000000
1.500000,0.500000,0.000000,-0.020540,1.438379,28.767583,0.000000,1.000000,220.800553,1520.111093,0.000000,0.000000,8837.855193,52.504603,0.000000
1.600000,0.533333,0.000000,-0.018383,1.534298,30.685955,0.000000,1.000000,225.615533,1631.454749,0.000000,0.000000,9485.202029,53.296753,0.000000
1.700000,0.566667,0.000000,-0.016235,1.630220,32.604394,0.000000,1.000000,230.523237,1742.289596,0.000000,0.000000,10129.590674,54.137263,0.000000
1.800000,0.600000,0.000000,-0.014095,1.726145,34.522900,0.000000,1.000000,235.532786,1852.678554,0.000000,0.000000,10771.386943,55.026477,0.000000
1.900000,0.633333,0.000000,-0.011964,1.822074,36.441472,0.000000,1.000000,240.648904,1962.673977,0.000000,0.000000,11410.895214,55.964648,0.000000
2.000000,0.666667,0.000000,-0.009839,1.918006,38.360111,0.000000,1.000000,245.873269,2072.319486,0.000000,0.000000,12048.369102,56.951964,0.000000
2.100000,0.700000,0.000000,-0.007720,2.013941,40.278816,0.000000,1.000000,251.205454,2181.651510,0.000000,0.000000,12684.020406,57.988559,0.000000
2.200000,0.733333,0.000000,-0.005607,2.109879,42.197589,0.000000,1.000000,256.643580,2290.700554,0.000000,0.000000,13318.026479,59.074532,0.000000
2.300000,0.766667,0.000000,-0.003498,2.205821,44.116427,0.000000,1.000000,262.184789,2399.492232,0.000000,0.000000,13950.536234,60.209950,0.000000
2.400000,0.800000,0.000000,-0.001394,2.301767,46.035333,0.000000,1.000000,267.825581,2508.048106,0.000000,0.000000,14581.675038,61.394858,0.000000
2.500000,0.833333,0.000000,0.000705,2.397715,47.954305,0.000000,1.000000,273.562051,2616.386372,0.000000,0.000000,15211.548676,62.629282,0.000000
2.600000,0.866667,0.000071,0.002798,2.493660,49.873203,0.003915,0.999922,279.380993,2724.359105,0.001117,0.001566,15839.297121,63.912034,0.000000
2.700000,0.900000,0.000350,0.004877,2.589587,51.791748,0.019447,0.999625,285.259030,2831.657899,0.005767,0.007779,16463.127322,65.240510,0.000000
2.800000,0.933333,0.000838,0.006944,2.685497,53.709943,0.046525,0.999134,291.189997,2938.296649,0.014316,0.018610,17083.120052,66.614280,0.000000
2.900000,0.966667,0.001532,0.008998,2.781390,55.627790,0.085076,0.998471,297.168068,3044.287614,0.027122,0.034030,17699.346591,68.032913,0.000000
3.000000,1.000000,0.002432,0.011040,2.877265,57.545291,0.135031,0.997653,303.187770,3149.641664,0.044537,0.054012,18311.870138,69.495974,0.000000
3.100000,1.033333,0.003536,0.013069,2.973122,59.462449,0.196322,0.996698,309.243976,3254.368482,0.066906,0.078529,18920.746986,71.003031,0.000000
3.200000,1.066667,0.004843,0.015087,3.068963,61.379264,0.268880,0.995619,315.331898,3358.476733,0.094565,0.107552,19526.027518,72.553650,0.000000
3.300000,1.100000,0.006352,0.017093,3.164787,63.295740,0.352641,0.994429,321.447071,3461.974212,0.127845,0.141056,20127.757045,74.147395,0.000000
3.400000,1.133333,0.008061,0.019087,3.260594,65.211877,0.447537,0.993137,327.585343,3564.867960,0.167071,0.179015,20725.976510,75.783836,0.000000
3.500000,1.166667,0.009970,0.021069,3.356384,67.127679,0.553504,0.991754,333.742852,3667.164372,0.212559,0.221402,21320.723095,77.462539,0.000000
3.600000,1.200000,0.012077,0.023040,3.452157,69.043146,0.670478,0.990289,339.916014,3768.869286,0.264621,0.268191,21912.030730,79.183075,0.000000
3.700000,1.233333,0.014381,0.025000,3.547914,70.958282,0.798395,0.988748,346.101501,3869.988051,0.323561,0.319358,22499.930530,80.945013,0.000000
3.800000,1.266667,0.016881,0.026948,3.643654,72.873087,0.937191,0.987139,352.296226,3970.525601,0.389677,0.374877,23084.451167,82.747927,0.000000
3.900000,1.300000,0.019575,0.028885,3.739378,74.787564,1.086805,0.985468,358.497327,4070.486501,0.463262,0.434722,23665.619193,84.591390,0.000000
4.000000,1.333333,0.022464,0.030812,3.835086,76.701714,1.247175,0.983740,364.702150,4169.875002,0.544602,0.498870,24243.459316,86.474980,0.000000
4.100000,1.366667,0.025545,0.032727,3.930777,78.615539,1.418238,0.981960,370.908233,4268.695078,0.633976,0.567295,24817.994637,88.398273,0.000000
4.200000,1.400000,0.028818,0.034631,4.026452,80.529042,1.599933,0.980132,377.113296,4366.950460,0.731659,0.639973,25389.246859,90.360851,0.000000
4.300000,1.433333,0.032281,0.036524,4.122111,82.442223,1.792201,0.978261,383.315222,4464.644671,0.837919,0.716880,25957.236462,92.362295,0.000000
4.400000,1.466667,0.035933,0.038407,4.217754,84.355086,1.994980,0.976350,389.512052,4561.781052,0.953019,0.797992,26521.982858,94.402192,0.000000
4.500000,1.500000,0.039774,0.040278,4.313382,86.267630,2.208210,0.974403,395.701965,4658.362779,1.077215,0.883284,27083.504531,96.480128,0.000000
4.600000,1.533333,0.043802,0.042139,4.408993,88.179859,2.431832,0.972422,401.883277,4754.392894,1.210758,0.972733,27641.819151,98.595692,0.000000
4.700000,1.566667,0.048016,0.043990,4.504589,90.091774,2.665786,0.970410,408.054421,4849.874312,1.353893,1.066315,28196.943677,100.748477,0.000000
4.800000,1.600000,0.052415,0.045830,4.600169,92.003377,2.910014,0.968371,414.213948,4944.809845,1.506861,1.164006,28748.894449,102.938078,0.000000
4.900000,1.633333,0.056998,0.047659,4.695733,93.914669,3.164457,0.966305,420.360512,5039.202210,1.669896,1.265783,29297.687268,105.164091,0.000000
